📚 Total unique words to fetch: 3097
   C1: 2757
   C2: 340
   (skipped 4955 Oxford 5000 words)

🚀 Fetching 3097 words...
  [56/3097] checkered... ✅ C1
  [57/3097] chivalrous... ✅ C1
  [58/3097] clemency... ✅ C1
  [59/3097] coalesce... ✅ C1
  [60/3097] cogent... ✅ C1
  [61/3097] cohesive... ✅ C1
  [62/3097] collusion... ✅ C1
  [63/3097] colossal... ✅ C1
  [64/3097] commendable... ✅ C1
  [65/3097] complacent... ✅ C1
  [66/3097] complementary... ✅ C1
  [67/3097] conducive... ✅ C1
  [68/3097] conniving... ✅ C1
  [69/3097] consecrate... ✅ C1
  [70/3097] consummate... ✅ C1
  [71/3097] contemptuous... ✅ C1
  [72/3097] contrite... ✅ C1
  [73/3097] conundrum... ✅ C1
  [74/3097] convivial... ✅ C1
  [75/3097] convoluted... ✅ C1
  [76/3097] cornucopia... ✅ C1
  [77/3097] corroborate... ✅ C1
  [78/3097] cosmopolitan... ✅ C1
  [79/3097] credence... ✅ C1
  [80/3097] creditable... ✅ C1
  [81/3097] credulity... ✅ C1
  [82/3097] cumbersome... ✅ C1
  [83/3097] dearth... ✅ C1
  [84/3097] debase... ✅ C1
  [85/3097] debunk... ✅ C1
  [86/3097] decimation... ✅ C1
  [87/3097] degrade... ✅ C1
  [88/3097] demean... ✅ C1
  [89/3097] demure... ✅ C1
  [90/3097] deride... ✅ C1
  [91/3097] derisive... ✅ C1
  [92/3097] derogative... ❌ not found
  [93/3097] desecrate... ✅ C1
  [94/3097] destitute... ✅ C1
  [95/3097] deter... ✅ C1
  [96/3097] detrimental... ✅ C1
  [97/3097] devolve... ✅ C1
  [98/3097] diabolical... ✅ C1
  [99/3097] dilapidated... ✅ C1
  [100/3097] diligent... ✅ C1
  [101/3097] discord... ✅ C1
  [102/3097] discreet... ✅ C1
  [103/3097] discriminate... ✅ C1
  [104/3097] disenfranchise... ✅ C1
  [105/3097] disheartened... ✅ C1
  [106/3097] disparate... ✅ C1
  [107/3097] dispatch... ✅ C1
  [108/3097] docile... ✅ C1
  [109/3097] dupe... ✅ C1
  [110/3097] eccentric... ✅ C1
  [111/3097] egotist... ✅ C1
  [112/3097] eke... ✅ C1
  [113/3097] elude... ✅ C1
  [114/3097] elusive... ✅ C1
  [115/3097] embellish... ✅ C1
  [116/3097] embroiled... ✅ C1
  [117/3097] empathetic... ✅ C1
  [118/3097] emulate... ✅ C1
  [119/3097] endemic... ✅ C1
  [120/3097] enmity... ✅ C1
  [121/3097] entice... ✅ C1
  [122/3097] enumerate... ✅ C1
  [123/3097] err... ✅ C1
  [124/3097] errant... ✅ C1
  [125/3097] erratic... ✅ C1
  [126/3097] euphoria... ✅ C1
  [127/3097] evasive... ✅ C1
  [128/3097] evenhanded... ✅ C1
  [129/3097] exasperate... ✅ C1
  [130/3097] excruciating... ✅ C1
  [131/3097] exemplify... ✅ C1
  [132/3097] exhort... ✅ C1
  [133/3097] extenuating... ✅ C1
  [134/3097] facetious... ✅ C1
  [135/3097] fawn... ✅ C1
  [136/3097] ferret... ✅ C1
  [137/3097] fete... ✅ C1
  [138/3097] fickle... ✅ C1
  [139/3097] finagle... ✅ C1
  [140/3097] fledgling... ❌ not found
  [141/3097] fleece... ❌ not found
  [142/3097] flounder... ❌ not found
  [143/3097] flush... ❌ not found
  [144/3097] foible... ❌ not found
  [145/3097] foolhardy... ❌ not found
  [146/3097] forthright... ❌ not found
  [147/3097] futile... ❌ not found
  [148/3097] genial... ❌ not found
  [149/3097] genteel... ❌ not found
  [150/3097] glean... ❌ not found
  [151/3097] glib... ❌ not found
  [152/3097] goad... ❌ not found
  [153/3097] grovel... ❌ not found
  [154/3097] guffaw... ❌ not found
  [155/3097] hamper... ❌ not found
  [156/3097] hamstrung... ❌ not found
  [157/3097] heyday... ❌ not found
  [158/3097] hodgepodge... ❌ not found
  [159/3097] hound... ❌ not found
  [160/3097] humdrum... ❌ not found
  [161/3097] illicit... ❌ not found
  [162/3097] immaterial... ❌ not found
  [163/3097] impeccable... ❌ not found
  [164/3097] impede... ❌ not found
  [165/3097] impending... ❌ not found
  [166/3097] impermeable... ❌ not found
  [167/3097] implicate... ❌ not found
  [168/3097] imponderable... ❌ not found
  [169/3097] impregnable... ❌ not found
  [170/3097] inadvertent... ✅ C1
  [171/3097] inarticulate... ✅ C1
  [172/3097] incense... ✅ C1
  [173/3097] incessant... ✅ C1
  [174/3097] inclement... ✅ C1
  [175/3097] incumbent... ✅ C1
  [176/3097] indict... ✅ C1
  [177/3097] indignant... ✅ C1
  [178/3097] industrious... ✅ C1
  [179/3097] inflammable... ✅ C1
  [180/3097] ingenuity... ✅ C1
  [181/3097] inkling... ✅ C1
  [182/3097] insipid... ✅ C1
  [183/3097] insolvent... ✅ C1
  [184/3097] intermittent... ✅ C1
  [185/3097] inundate... ✅ C1
  [186/3097] irascible... ✅ C1
  [187/3097] irk... ✅ C1
  [188/3097] irresolute... ✅ C1
  [189/3097] jargon... ✅ C1
  [190/3097] jocular... ✅ C1
  [191/3097] junta... ✅ C1
  [192/3097] laborious... ✅ C1
  [193/3097] leery... ✅ C1
  [194/3097] lethargic... ✅ C1
  [195/3097] lucid... ✅ C1
  [196/3097] macabre... ✅ C1
  [197/3097] malady... ✅ C1
  [198/3097] malevolent... ✅ C1
  [199/3097] malleable... ✅ C1
  [200/3097] malodorous... ✅ C1
  [201/3097] maxim... ✅ C1
  [202/3097] meander... ✅ C1
  [203/3097] melancholy... ✅ C1
  [204/3097] melee... ✅ C1
  [205/3097] mesmerize... ✅ C1
  [206/3097] misanthrope... ✅ C1
  [207/3097] miscreant... ✅ C1
  [208/3097] miser... ✅ C1
  [209/3097] misogynist... ✅ C1
  [210/3097] moot... ✅ C1
  [211/3097] morose... ✅ C1
  [212/3097] morph... ✅ C1
  [213/3097] muted... ✅ C1
  [214/3097] obdurate... ✅ C1
  [215/3097] obliging... ✅ C1
  [216/3097] obstinate... ✅ C1
  [217/3097] ornate... ✅ C1
  [218/3097] paradoxical... ✅ C1
  [219/3097] pastoral... ✅ C1
  [220/3097] patronize... ✅ C1
  [221/3097] paucity... ✅ C1
  [222/3097] peevish... ✅ C1
  [223/3097] perennial... ✅ C1
  [224/3097] perpetuate... ✅ C1
  [225/3097] perquisiteperquisiteright... ❌ not found
  [226/3097] pertinent... ✅ C1
  [227/3097] perturb... ✅ C1
  [228/3097] peruse... ✅ C1
  [229/3097] pine... ✅ C1
  [230/3097] pinnacle... ✅ C1
  [231/3097] piquant... ✅ C1
  [232/3097] pithy... ✅ C1
  [233/3097] pittance... ✅ C1
  [234/3097] placid... ✅ C1
  [235/3097] plodding... ✅ C1
  [236/3097] ploy... ✅ C1
  [237/3097] powwow... ✅ C1
  [238/3097] precarious... ✅ C1
  [239/3097] preempt... ✅ C1
  [240/3097] preemptive... ✅ C1
  [241/3097] presumption... ✅ C1
  [242/3097] presumptuous... ✅ C1
  [243/3097] pristine... ✅ C1
  [244/3097] profuse... ✅ C1
  [245/3097] profusion... ✅ C1
  [246/3097] proponent... ✅ C1
  [247/3097] provisional... ✅ C1
  [248/3097] pugnacious... ✅ C1
  [249/3097] qualm... ✅ C1
  [250/3097] quandary... ✅ C1
  [251/3097] quip... ✅ C1
  [252/3097] raffish... ✅ C1
  [253/3097] raft... ✅ C1
  [254/3097] rakish... ✅ C1
  [255/3097] rankle... ✅ C1
  [256/3097] rash... ✅ C1
  [257/3097] redress... ✅ C1
  [258/3097] relegate... ✅ C1
  [259/3097] remiss... ✅ C1
  [260/3097] renege... ✅ C1
  [261/3097] replete... ✅ C1
  [262/3097] reprobate... ✅ C1
  [263/3097] respite... ✅ C1
  [264/3097] retiring... ✅ C1
  [265/3097] retract... ✅ C1
  [266/3097] rile... ✅ C1
  [267/3097] sanctimonious... ✅ C1
  [268/3097] sanguine... ✅ C1
  [269/3097] savvy... ✅ C1
  [270/3097] scintillating... ✅ C1
  [271/3097] screed... ✅ C1
  [272/3097] sentimental... ✅ C1
  [273/3097] serendipity... ✅ C1
  [274/3097] serene... ✅ C1
  [275/3097] slapdash... ✅ C1
  [276/3097] smattering... ✅ C1
  [277/3097] smug... ✅ C1
  [278/3097] snide... ✅ C1
  [279/3097] snub... ✅ C1
  [280/3097] sordid... ✅ C1
  [281/3097] spendthrift... ✅ C1
  [282/3097] spurn... ✅ C1
  [283/3097] squander... ✅ C1
  [284/3097] staid... ✅ C1
  [285/3097] steadfast... ✅ C1
  [286/3097] stipend... ✅ C1
  [287/3097] stolid... ✅ C1
  [288/3097] stymie... ✅ C1
  [289/3097] surly... ✅ C1
  [290/3097] tact... ✅ C1
  [291/3097] tarnish... ✅ C1
  [292/3097] tawdry... ✅ C1
  [293/3097] taxing... ✅ C1
  [294/3097] telling... ✅ C1
  [295/3097] telltale... ✅ C1
  [296/3097] thoroughgoing... ✅ C1
  [297/3097] thrifty... ✅ C1
  [298/3097] thwart... ✅ C1
  [299/3097] tirade... ✅ C1
  [300/3097] tout... ✅ C1
  [301/3097] transitory... ✅ C1
  [302/3097] travail... ✅ C1
  [303/3097] tribulation... ✅ C1
  [304/3097] tumult... ✅ C1
  [305/3097] uncanny... ✅ C1
  [306/3097] uncompromising... ✅ C1
  [307/3097] unconscionable... ✅ C1
  [308/3097] underwrite... ✅ C1
  [309/3097] unnerve... ✅ C1
  [310/3097] unruly... ✅ C1
  [311/3097] unseemly... ✅ C1
  [312/3097] urbane... ✅ C1
  [313/3097] vacuous... ✅ C1
  [314/3097] vanquish... ✅ C1
  [315/3097] variance... ✅ C1
  [316/3097] veneer... ✅ C1
  [317/3097] vicarious... ✅ C1
  [318/3097] vie... ✅ C1
  [319/3097] vindictive... ✅ C1
  [320/3097] virago... ✅ C1
  [321/3097] voracious... ✅ C1
  [322/3097] wanton... ✅ C1
  [323/3097] wax... ✅ C1
  [324/3097] whimsical... ✅ C1
  [325/3097] zenith... ✅ C1
  [326/3097] aberrant... ✅ C1
  [327/3097] aberration... ✅ C1
  [328/3097] abstain... ✅ C1
  [329/3097] abstruse... ✅ C1
  [330/3097] accolade... ✅ C1
  [331/3097] acerbic... ✅ C1
  [332/3097] acrimony... ✅ C1
  [333/3097] adamant... ✅ C1
  [334/3097] admonish... ✅ C1
  [335/3097] admonitory... ✅ C1
  [336/3097] aesthete... ✅ C1
  [337/3097] amalgam... ✅ C1
  [338/3097] ambiguous... ✅ C1
  [339/3097] ambivalent... ✅ C1
  [340/3097] ameliorate... ✅ C1
  [341/3097] amenable... ✅ C1
  [342/3097] amorphous... ✅ C1
  [343/3097] anomalous... ✅ C1
  [344/3097] anomaly... ✅ C1
  [345/3097] antipathy... ✅ C1
  [346/3097] antithetical... ✅ C1
  [347/3097] apathetic... ✅ C1
  [348/3097] apathy... ✅ C1
  [349/3097] apocryphal... ✅ C1
  [350/3097] appease... ✅ C1
  [351/3097] arcane... ✅ C1
  [352/3097] arduous... ✅ C1
  [353/3097] artful... ✅ C1
  [354/3097] ascetic... ✅ C1
  [355/3097] askance... ✅ C1
  [356/3097] audacious... ✅ C1
  [357/3097] audacity... ✅ C1
  [358/3097] auspicious... ✅ C1
  [359/3097] austere... ✅ C1
  [360/3097] avaricious... ✅ C1
  [361/3097] banal... ✅ C1
  [362/3097] banality... ✅ C1
  [363/3097] belie... ✅ C1
  [364/3097] belligerent... ✅ C1
  [365/3097] blatant... ✅ C1
  [366/3097] bolster... ✅ C1
  [367/3097] brazen... ✅ C1
  [368/3097] bucolic... ✅ C1
  [369/3097] bumbling... ✅ C1
  [370/3097] burgeon... ✅ C1
  [371/3097] calumny... ✅ C1
  [372/3097] capricious... ✅ C1
  [373/3097] castigate... ✅ C1
  [374/3097] censure... ✅ C1
  [375/3097] chastise... ✅ C1
  [376/3097] chortle... ✅ C1
  [377/3097] circumscribe... ✅ C1
  [378/3097] circumvent... ✅ C1
  [379/3097] commensurate... ✅ C1
  [380/3097] confound... ✅ C1
  [381/3097] conspicuous... ❌ not found
  [382/3097] constituent... ❌ not found
  [383/3097] construe... ❌ not found
  [384/3097] contingent... ❌ not found
  [385/3097] contrition... ❌ not found
  [386/3097] contrive... ❌ not found
  [387/3097] copious... ❌ not found
  [388/3097] craven... ❌ not found
  [389/3097] cryptic... ❌ not found
  [390/3097] culminate... ❌ not found
  [391/3097] culpability... ❌ not found
  [392/3097] decorous... ❌ not found
  [393/3097] decorum... ❌ not found
  [394/3097] deferential... ❌ not found
  [395/3097] deleterious... ❌ not found
  [396/3097] delineate... ❌ not found
  [397/3097] demur... ❌ not found
  [398/3097] denigrate... ❌ not found
  [399/3097] denote... ❌ not found
  [400/3097] derivative... ❌ not found
  [401/3097] dictatorial... ❌ not found
  [402/3097] didactic... ❌ not found
  [403/3097] diffident... ❌ not found
  [404/3097] dilatory... ❌ not found
  [405/3097] dilettante... ❌ not found
  [406/3097] disaffected... ❌ not found
  [407/3097] discrete... ❌ not found
  [408/3097] disinterested... ❌ not found
  [409/3097] dispassionate... ❌ not found
  [410/3097] disseminate... ❌ not found
  [411/3097] dogmatic... ❌ not found
  [412/3097] duress... ✅ C1
  [413/3097] eclectic... ✅ C1
  [414/3097] economical... ✅ C1
  [415/3097] edifying... ✅ C1
  [416/3097] efficacious... ✅ C1
  [417/3097] egregious... ✅ C1
  [418/3097] elicit... ✅ C1
  [419/3097] elucidate... ✅ C1
  [420/3097] eminent... ✅ C1
  [421/3097] enervate... ✅ C1
  [422/3097] engender... ✅ C1
  [423/3097] entrenched... ✅ C1
  [424/3097] ephemeral... ✅ C1
  [425/3097] equivocal... ✅ C1
  [426/3097] eradicate... ✅ C1
  [427/3097] erudite... ✅ C1
  [428/3097] eschew... ✅ C1
  [429/3097] esoteric... ✅ C1
  [430/3097] espouse... ✅ C1
  [431/3097] exacerbate... ✅ C1
  [432/3097] exacting... ✅ C1
  [433/3097] exalt... ✅ C1
  [434/3097] exonerate... ✅ C1
  [435/3097] expound... ✅ C1
  [436/3097] extant... ✅ C1
  [437/3097] fallacious... ✅ C1
  [438/3097] fastidious... ✅ C1
  [439/3097] flux... ✅ C1
  [440/3097] foment... ✅ C1
  [441/3097] forlorn... ✅ C1
  [442/3097] fortuitous... ✅ C1
  [443/3097] frivolous... ✅ C1
  [444/3097] frugal... ✅ C1
  [445/3097] frustrate... ✅ C1
  [446/3097] furtive... ✅ C1
  [447/3097] gainsay... ✅ C1
  [448/3097] gall... ✅ C1
  [449/3097] galvanize... ✅ C1
  [450/3097] garrulous... ✅ C1
  [451/3097] gauche... ✅ C1
  [452/3097] germane... ✅ C1
  [453/3097] glut... ✅ C1
  [454/3097] gossamer... ❌ not found
  [455/3097] gregarious... ❌ not found
  [456/3097] guileless... ❌ not found
  [457/3097] hackneyed... ❌ not found
  [458/3097] haphazard... ❌ not found
  [459/3097] harangue... ❌ not found
  [460/3097] harried... ❌ not found
  [461/3097] haughty... ❌ not found
  [462/3097] hegemony... ❌ not found
  [463/3097] heretic... ❌ not found
  [464/3097] iconoclast... ❌ not found
  [465/3097] iconoclastic... ❌ not found
  [466/3097] idiosyncrasy... ❌ not found
  [467/3097] ignoble... ❌ not found
  [468/3097] ignominious... ❌ not found
  [469/3097] immutable... ❌ not found
  [470/3097] impartial... ❌ not found
  [471/3097] imperil... ❌ not found
  [472/3097] impertinent... ❌ not found
  [473/3097] implacable... ❌ not found
  [474/3097] implausible... ❌ not found
  [475/3097] imprudent... ❌ not found
  [476/3097] impudent... ❌ not found
  [477/3097] incisive... ❌ not found
  [478/3097] incongruous... ❌ not found
  [479/3097] incorrigible... ❌ not found
  [480/3097] indecorous... ❌ not found
  [481/3097] indifference... ❌ not found
  [482/3097] inexorableinexorablearmy... ❌ not found
  [483/3097] ingenuous... ❌ not found
  [484/3097] ingratiate... ✅ C1
  [485/3097] inimical... ✅ C1
  [486/3097] innocuous... ✅ C1
  [487/3097] inscrutable... ✅ C1
  [488/3097] insidious... ✅ C1
  [489/3097] insolent... ✅ C1
  [490/3097] intransigent... ✅ C1
  [491/3097] intrepid... ✅ C1
  [492/3097] inveterate... ✅ C1
  [493/3097] irrevocable... ✅ C1
  [494/3097] itinerant... ✅ C1
  [495/3097] jingoism... ✅ C1
  [496/3097] jovial... ✅ C1
  [497/3097] jubilant... ✅ C1
  [498/3097] juxtapose... ✅ C1
  [499/3097] laconic... ✅ C1
  [500/3097] lambast... ✅ C1
  [501/3097] languid... ✅ C1
  [502/3097] largess... ✅ C1
  [503/3097] laudable... ✅ C1
  [504/3097] lionize... ✅ C1
  [505/3097] magnanimous... ✅ C1
  [506/3097] maladroit... ✅ C1
  [507/3097] maverick... ✅ C1
  [508/3097] mawkish... ✅ C1
  [509/3097] mendacity... ✅ C1
  [510/3097] mercurial... ✅ C1
  [511/3097] meticulous... ✅ C1
  [512/3097] misconstrue... ✅ C1
  [513/3097] mitigate... ✅ C1
  [514/3097] mollify... ✅ C1
  [515/3097] mundane... ✅ C1
  [516/3097] munificent... ✅ C1
  [517/3097] myopic... ✅ C1
  [518/3097] myriad... ✅ C1
  [519/3097] negligible... ✅ C1
  [520/3097] nonplussed... ✅ C1
  [521/3097] nuance... ✅ C1
  [522/3097] obscure... ✅ C1
  [523/3097] obsequious... ✅ C1
  [524/3097] opaque... ✅ C1
  [525/3097] opulence... ✅ C1
  [526/3097] ostentatious... ✅ C1
  [527/3097] ostracize... ✅ C1
  [528/3097] panache... ✅ C1
  [529/3097] parochial... ✅ C1
  [530/3097] parsimonious... ✅ C1
  [531/3097] pedantic... ✅ C1
  [532/3097] pedestrian... ✅ C1
  [533/3097] pejorative... ✅ C1
  [534/3097] perfidy... ✅ C1
  [535/3097] pernicious... ✅ C1
  [536/3097] petulant... ✅ C1
  [537/3097] placate... ✅ C1
  [538/3097] platitude... ✅ C1
  [539/3097] poignant... ✅ C1
  [540/3097] polemic... ✅ C1
  [541/3097] posit... ✅ C1
  [542/3097] pragmatic... ✅ C1
  [543/3097] precipitous... ✅ C1
  [544/3097] preclude... ✅ C1
  [545/3097] precocious... ✅ C1
  [546/3097] predilection... ✅ C1
  [547/3097] prescience... ✅ C1
  [548/3097] prevaricate... ✅ C1
  [549/3097] prodigal... ❌ not found
  [550/3097] prodigious... ❌ not found
  [551/3097] profligate... ❌ not found
  [552/3097] prolific... ❌ not found
  [553/3097] propitious... ❌ not found
  [554/3097] pundit... ❌ not found
  [555/3097] querulous... ❌ not found
  [556/3097] quotidian... ❌ not found
  [557/3097] ravenous... ❌ not found
  [558/3097] rebuke... ❌ not found
  [559/3097] reconcile... ❌ not found
  [560/3097] recondite... ❌ not found
  [561/3097] refractory... ❌ not found
  [562/3097] refute... ❌ not found
  [563/3097] reproach... ❌ not found
  [564/3097] repudiate... ❌ not found
  [565/3097] rescind... ❌ not found
  [566/3097] restive... ❌ not found
  [567/3097] resurgent... ❌ not found
  [568/3097] reticent... ❌ not found
  [569/3097] reverent... ❌ not found
  [570/3097] rudimentary... ❌ not found
  [571/3097] rustic... ❌ not found
  [572/3097] scrupulous... ❌ not found
  [573/3097] soporific... ❌ not found
  [574/3097] specious... ❌ not found
  [575/3097] sporadic... ❌ not found
  [576/3097] spurious... ❌ not found
  [577/3097] staunch... ❌ not found
  [578/3097] stringent... ❌ not found
  [579/3097] subsume... ✅ C1
  [580/3097] subversive... ✅ C1
  [581/3097] subvert... ✅ C1
  [582/3097] sullen... ✅ C1
  [583/3097] superfluous... ✅ C1
  [584/3097] supplant... ✅ C1
  [585/3097] sycophant... ✅ C1
  [586/3097] taciturn... ✅ C1
  [587/3097] tantamount... ✅ C1
  [588/3097] temperance... ✅ C1
  [589/3097] tempered... ✅ C1
  [590/3097] tenacious... ✅ C1
  [591/3097] timorous... ✅ C1
  [592/3097] torpor... ✅ C1
  [593/3097] tortuous... ✅ C1
  [594/3097] tractable... ✅ C1
  [595/3097] transient... ✅ C1
  [596/3097] travesty... ✅ C1
  [597/3097] treacherous... ✅ C1
  [598/3097] trite... ✅ C1
  [599/3097] truncate... ✅ C1
  [600/3097] underscore... ✅ C1
  [601/3097] unequivocal... ✅ C1
  [602/3097] unscrupulous... ✅ C1
  [603/3097] upbraid... ✅ C1
  [604/3097] vacillate... ✅ C1
  [605/3097] vehement... ✅ C1
  [606/3097] venality... ❌ not found
  [607/3097] venerate... ✅ C1
  [608/3097] veracious... ✅ C1
  [609/3097] vilify... ✅ C1
  [610/3097] vindicate... ✅ C1
  [611/3097] vociferous... ✅ C1
  [612/3097] volubility... ✅ C1
  [613/3097] wanting... ✅ C1
  [614/3097] winsome... ✅ C1
  [615/3097] abase... ✅ C1
  [616/3097] abash... ✅ C1
  [617/3097] abate... ✅ C1
  [618/3097] abbreviate... ✅ C1
  [619/3097] abdicate... ✅ C1
  [620/3097] abet... ✅ C1
  [621/3097] abeyance... ❌ not found
  [622/3097] abhor... ❌ not found
  [623/3097] abiding... ❌ not found
  [624/3097] abject... ❌ not found
  [625/3097] abjure... ❌ not found
  [626/3097] abnegate... ❌ not found
  [627/3097] abominate... ❌ not found
  [628/3097] abrade... ❌ not found
  [629/3097] abridge... ❌ not found
  [630/3097] abrogate... ❌ not found
  [631/3097] abscission... ❌ not found
  [632/3097] abscond... ❌ not found
  [633/3097] absolve... ❌ not found
  [634/3097] abstemious... ❌ not found
  [635/3097] abundant... ❌ not found
  [636/3097] abut... ❌ not found
  [637/3097] accede... ❌ not found
  [638/3097] accessory... ❌ not found
  [639/3097] accidental... ❌ not found
  [640/3097] acclimate... ❌ not found
  [641/3097] accost... ❌ not found
  [642/3097] accrete... ❌ not found
  [643/3097] achromatic... ❌ not found
  [644/3097] acquiesce... ❌ not found
  [645/3097] acrid... ❌ not found
  [646/3097] acrimonious... ❌ not found
  [647/3097] acumen... ❌ not found
  [648/3097] addendum... ❌ not found
  [649/3097] addict... ❌ not found
  [650/3097] adjourn... ❌ not found
  [651/3097] adjunct... ✅ C1
  [652/3097] ad-lib... ✅ C1
  [653/3097] adore... ✅ C1
  [654/3097] adulate... ✅ C1
  [655/3097] adulterate... ✅ C1
  [656/3097] adumbrate... ✅ C1
  [657/3097] adventitious... ✅ C1
  [658/3097] adversary... ✅ C1
  [659/3097] advert... ✅ C1
  [660/3097] affidavit... ✅ C1
  [661/3097] affinity... ✅ C1
  [662/3097] aggrandize... ✅ C1
  [663/3097] aggravate... ✅ C1
  [664/3097] aggregate... ✅ C1
  [665/3097] aggrieve... ❌ not found
  [666/3097] agitate... ✅ C1
  [667/3097] agog... ✅ C1
  [668/3097] agonize... ✅ C1
  [669/3097] agrarian... ✅ C1
  [670/3097] airtight... ✅ C1
  [671/3097] alacrity... ✅ C2
  [672/3097] albino... ✅ C1
  [673/3097] alchemy... ✅ C1
  [674/3097] alibi... ✅ C1
  [675/3097] alienate... ✅ C1
  [676/3097] allay... ✅ C1
  [677/3097] allegiance... ✅ C1
  [678/3097] alleviate... ✅ C1
  [679/3097] alliterate... ✅ C1
  [680/3097] allude... ✅ C1
  [681/3097] allure... ✅ C1
  [682/3097] aloft... ✅ C1
  [683/3097] aloof... ✅ C1
  [684/3097] alphabetical... ✅ C1
  [685/3097] amalgamate... ✅ C1
  [686/3097] amble... ✅ C1
  [687/3097] ambrosial... ❌ not found
  [688/3097] amenity... ✅ C1
  [689/3097] amicable... ✅ C1
  [690/3097] amity... ✅ C1
  [691/3097] amulet... ✅ C1
  [692/3097] analgesic... ✅ C1
  [693/3097] anarchist... ✅ C1
  [694/3097] anathema... ✅ C2
  [695/3097] ancillary... ✅ C1
  [696/3097] anecdote... ✅ C1
  [697/3097] anemic... ✅ C2
  [698/3097] anesthetic... ✅ C1
  [699/3097] animate... ✅ C1
  [700/3097] animus... ✅ C1
  [701/3097] annals... ✅ C1
  [702/3097] annul... ✅ C1
  [703/3097] antagonize... ✅ C1
  [704/3097] antediluvian... ✅ C1
  [705/3097] anterior... ✅ C1
  [706/3097] anthology... ✅ C1
  [707/3097] antic... ✅ C2
  [708/3097] antidote... ✅ C1
  [709/3097] apocalyptic... ✅ C1
  [710/3097] apophasis... ❌ not found
  [711/3097] apoplectic... ✅ C1
  [712/3097] apostasy... ✅ C1
  [713/3097] apostrophe... ✅ C1
  [714/3097] apothecary... ✅ C1
  [715/3097] appall... ✅ C1
  [716/3097] apparel... ✅ C1
  [717/3097] appellation... ✅ C1
  [718/3097] applause... ✅ C1
  [719/3097] apposite... ✅ C1
  [720/3097] apprise... ✅ C1
  [721/3097] approbation... ✅ C1
  [722/3097] apron... ✅ C1
  [723/3097] apropos... ✅ C1
  [724/3097] apt... ✅ C1
  [725/3097] aquatic... ✅ C1
  [726/3097] arbor... ✅ C1
  [727/3097] arboreal... ✅ C1
  [728/3097] archetype... ✅ C1
  [729/3097] archipelago... ✅ C1
  [730/3097] ardor... ✅ C1
  [731/3097] argot... ✅ C1
  [732/3097] arresting... ✅ C1
  [733/3097] arrhythmic... ✅ C1
  [734/3097] arrogance... ✅ C1
  [735/3097] artifacts... ✅ C1
  [736/3097] ascendant... ✅ C1
  [737/3097] askew... ✅ C1
  [738/3097] asperity... ✅ C2
  [739/3097] aspersion... ✅ C1
  [740/3097] aspirant... ✅ C1
  [741/3097] assent... ✅ C1
  [742/3097] assertive... ✅ C1
  [743/3097] assiduous... ✅ C1
  [744/3097] astounding... ✅ C1
  [745/3097] astringent... ✅ C1
  [746/3097] astrology... ✅ C1
  [747/3097] astute... ✅ C1
  [748/3097] asunder... ✅ C1
  [749/3097] asymmetrical... ❌ not found
  [750/3097] atone... ❌ not found
  [751/3097] atrocious... ❌ not found
  [752/3097] attenuate... ❌ not found
  [753/3097] audition... ❌ not found
  [754/3097] augur... ❌ not found
  [755/3097] autocracy... ❌ not found
